From,Destination,City,Type,Distance (km),Duration (Days),Budget,Cost (BDT)
Dhaka,Paharpur Buddhist Monastery,Naogaon,Historical Palace,244,1,Low,1950
Mymensingh,Shilaidaha Kuthibari,Kushtia,Historical Palace,257,1,Medium,2233
Rangpur,Dulahazara Safari Park,Cox's Bazar,Park,651,1,Medium,2836
Mymensingh,Mohamaya Eco Park,Chittagong,Picnic Spot,304,1,Low,2421
Cumilla,Patenga Beach,Chittagong,Sea Beach,159,5,High,15452
Cumilla,Baniachong Raj Bari,Habiganj,Historical Palace,147,1,Low,1208
Rangpur,Kurigram Eco Park,Kurigram,Park,47,1,Low,1722
Rajshahi,Sajek Valley,Rangamati,Hills,579,6,High,10037
Dhaka,Jatiyo Sriti Shoudho,Savar,Historical Palace,36,1,Low,1491
Barisal,Mohera Zamindar Bari,Tangail,Historical Palace,251,1,Medium,2579
Mymensingh,Buddha Dhatu Jadi,Bandarban,Historical Palace,441,1,Medium,1602
Dhaka,Mohera Zamindar Bari,Tangail,Historical Palace,89,1,Low,1380
Cumilla,Satchari National Park,Habiganj,Park,110,1,Low,1536
Khulna,Shahporan Dargah,Sylhet,Historical Palace,445,1,Medium,2717
Mymensingh,Foy's Lake,Chittagong,Park,362,1,Low,2025
Rangpur,Jadipai Waterfall,Bandarban,Waterfall,683,2,Low,2641
Chittagong,Dulahazara Safari Park,Cox's Bazar,Park,98,1,Low,1558
Barisal,Teliapara Managers Bunglow Nation Tea Estate,Habiganj,Picnic Spot,295,1,Medium,1858
Rangpur,Sreemangal,Moulvibazar,Picnic Spot,439,1,Medium,2110
Khulna,Dulahazara Safari Park,Cox's Bazar,Park,450,1,Medium,2023
Barisal,Lawachara National Park,Sylhet,Park,349,1,Low,1943
Rangpur,Muktagacha ZamidarBari,Mymensingh,Historical Palace,270,1,Low,1915
Cumilla,Chalkmoshar Zamindar Bari,Naogaon,Historical Palace,364,1,Medium,2483
Cumilla,Kaptai National Park,Rangamati,Park,445,1,Medium,2984
Chittagong,Alutila Cave,Khagrachari,Hills,100,1,Medium,3779
Chittagong,Shahporan Dargah,Sylhet,Historical Palace,367,1,Medium,1672
Barisal,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,183,1,Low,1965
Chittagong,Swapnapuri Amusement Park,Dinajpur,Picnic Spot,536,1,Medium,2185
Mymensingh,Shahjalal Dargah,Sylhet,Historical Palace,194,1,Low,1881
Rajshahi,Fatra's Char,Patuakhali,Island,431,5,Medium,14660
Khulna,Jadukata River,Sunamganj,Picnic Spot,484,1,Medium,1669
Khulna,Lalbagh Fort,Dhaka,Historical Palace,206,1,Medium,1673
Chittagong,Lalakhal,Sylhet,Picnic Spot,409,1,Medium,1632
Cumilla,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,73.4,1,Low,1252
Dhaka,Fatra's Char,Patuakhali,Island,294,7,Medium,8158
Rajshahi,Kuakata Beach,Barisal,Sea Beach,436,6,High,6337
Chittagong,Fatra's Char,Patuakhali,Island,339,5,High,15249
Dhaka,Rangamati Hanging Bridge,Rangamati,Hills,312,4,High,8818
Rajshahi,Baliati Jamidar Bari,Manikganj,Historical Palace,205,1,Low,2990
Khulna,Baniachong Zamindar Bari,Habiganj,Historical Palace,376,1,Medium,1905
Cumilla,Jadipai Waterfall,Bandarban,Waterfall,637,2,Medium,4863
Cumilla,Jaflong,Sylhet,Picnic Spot,269,1,Low,2060
Sylhet,Chandranath Temple,Chittagong,Historical Palace,322,1,Low,2080
Khulna,Sundarbans,Satkhira,Forest,110,1,Low,4697
Rangpur,Suagazi Zamindar Bari,Cumilla,Historical Palace,412,1,Medium,1711
Sylhet,Bhawal National Park,Gazipur,Park,231,1,Medium,2322
Dhaka,Bhola Circuit House,Bhola,Picnic Spot,188,1,Low,1646
Sylhet,Ahsan Monjil,Dhaka,Historical Palace,239,1,Medium,2678
Rangpur,Buddha Dhatu Cati,Bandarban,Historical Palace,622,1,Low,1734
Rangpur,Inani Beach,Cox's Bazar,Sea Beach,708,7,High,9870
Mymensingh,Maheshkhali Island,Cox's Bazar,Island,466,5,Medium,8647
Chittagong,Aparajeyo Bangla,Dhaka,Historical Palace,245,1,Low,2695
Khulna,Alutila Cave,Khagrachari,Hills,357,3,Medium,9460
Rajshahi,Maheshkhali Island,Cox's Bazar,Island,598,5,Medium,19172
Rangpur,Rangamati Hanging Bridge,Rangamati,Hills,605,3,Medium,8246
Cumilla,Munshibari Zamindar Bari,Cumilla,Historical Palace,377,1,Low,1784
Chittagong,Mohamaya Eco Park,Chittagong,Picnic Spot,81,1,Low,1722
Cumilla,Dhakeshwari Temple,Dhaka,Historical Palace,97,1,Low,542
Cumilla,Zinda Park,Narayanganj,Picnic Spot,126,1,Low,1892
Barisal,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,388,1,Low,1968
Mymensingh,Lalbagh Fort,Dhaka,Historical Palace,124,1,Low,1609
Cumilla,Jadukata River,Sunamganj,Picnic Spot,255,1,Medium,1856
Sylhet,Bangladesh National Zoo,Dhaka,Park,243,1,Low,2608
Dhaka,Baliati  Zamindar Bari,Manikganj,Historical Palace,72,1,Low,1880
Barisal,Chandradinga,Netrokona,Hills,370,3,High,7171
Chittagong,Chimbuk View Point,Bandarban,Hills,88,3,Medium,3310
Cumilla,Alutila Cave,Khagrachari,Hills,163,3,High,3230
Mymensingh,Sitakunda Eco Park,Chittagong,Park,330,1,Low,1833
Dhaka,Pachgaon Waterfall,Netrokona,Hills,195,1,Medium,4688
Rangpur,Kaptai Lake,Rangamati,Park,602,1,Medium,2383
Barisal,Saint Martin's Island,Cox's Bazar,Island,467,7,High,16218
Cumilla,Inani Beach,Cox's Bazar,Sea Beach,308,3,High,17515
Sylhet,Mujibnagar Smriti Complex,Meherpur,Historical Palace,493,1,Medium,2098
Rajshahi,Bhola Circuit House,Bhola,Picnic Spot,368,1,Low,1904
Khulna,Bangladesh National Meusium,Dhaka,Historical Palace,207,1,Medium,1608
Rangpur,Sundarbans,Satkhira,Forest,453,2,Medium,3854
Chittagong,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,566,1,Low,1758
Barisal,Mahasthangarh,Bogura,Historical Palace,378,1,Low,2943
Chittagong,Keokradong,Bandarban,Hills,134,3,Medium,4760
Mymensingh,Ghoraghat Fort,Dinajpur,Historical Palace,236,1,Medium,1571
Sylhet,Suagazi Zamindar Bari,Cumilla,Historical Palace,222,1,Low,2833
Sylhet,Chor Kukri Mukri,Bhola,Island,535,6,Medium,18630
Dhaka,Bangabandhu Bridge,Tangail,Historical Palace,110,1,Low,1639
Dhaka,Jadipai Waterfall,Bandarban,Waterfall,390,1,Medium,3188
Rangpur,Lalakhal,Sylhet,Picnic Spot,546,1,Medium,2881
Chittagong,Teknaf Beach,Teknaf,Sea Beach,214,7,High,10083
Dhaka,Tangail Zamindar Bari,Tangail,Historical Palace,88,1,Low,959
Barisal,Bodhiratna Buddhist Temple,Cox's Bazar,Historical Palace,369,1,Low,1928
Dhaka,Chhatak Haor,Sunamganj,Picnic Spot,257,1,Medium,2466
Cumilla,Niladri Lake,Sunamganj,Picnic Spot,284,1,Low,2340
Khulna,Satchari National Park,Habiganj,Park,339,1,Low,2739
Mymensingh,Bayazid Bostami Shrine,Chittagong,Historical Palace,360,1,Low,2557
Barisal,Khoiyachora Jhorna,Chittagong,Waterfall,191,2,Low,3734
Khulna,Tindur Waterfall,Bandarban,Waterfall,467,1,Medium,4302
Rangpur,Ahsan Monjil,Dhaka,Historical Palace,307,1,Low,2979
Dhaka,Kantaji Temple,Dinajpur,Historical Palace,350,1,Medium,2916
Khulna,Hatirjheel,Dhaka,Picnic Spot,212,1,Medium,2951
Chittagong,Birishiri,Netrokona,Picnic Spot,418,1,Medium,1725
Cumilla,Chimbuk View Point,Bandarban,Hills,180,3,Medium,2343
Cumilla,Aparajeyo Bangla,Dhaka,Historical Palace,381,1,Medium,2299
Mymensingh,Suagazi Zamindar Bari,Cumilla,Historical Palace,117,1,Low,1941
Sylhet,Modhutila Eco Park,Sherpur,Park,353,1,Medium,2134
Cumilla,Balihar Rajbari,Naogaon,Historical Palace,358,1,Low,2751
Cumilla,Chimbuk View Point,Bandarban,Hills,180,3,High,4260
Khulna,Suagazi Zamindar Bari,Cumilla,Historical Palace,308,1,Low,2152
Rangpur,Aparajeyo Bangla,Dhaka,Historical Palace,299,1,Low,2970
Rangpur,Chandranath Temple,Chittagong,Historical Palace,512,1,Medium,2334
Mymensingh,Hardinge Bridge,Kushtia,Historical Palace,219,1,Medium,2863
Chittagong,Shilaidaha Kuthibari,Kushtia,Historical Palace,428,1,Low,1708
Khulna,Dhanmondi Lake,Dhaka,Park,209,1,Medium,2932
Khulna,Malnichhara Tea Garden,Sylhet,Picnic Spot,443,1,Medium,2087
Barisal,Nafakhum Waterfall,Bandarban,Waterfall,250,1,Medium,2052
Dhaka,Kuakata Beach,Patuakhali,Sea Beach,298,6,High,11839
Mymensingh,Kuakata Beach,Patuakhali,Sea Beach,408,7,High,17559
Khulna,Shaheed Suhrawardy Udyan,Dhaka,Park,206,1,Low,2573
Cumilla,Ghoraghat Fort,Dinajpur,Historical Palace,343,1,Low,2453
Mymensingh,Patenga Beach,Chittagong,Sea Beach,373,5,High,16541
Cumilla,Kuakata Beach,Barisal,Sea Beach,374,6,High,10740
Chittagong,Niladri Lake,Sunamganj,Picnic Spot,444,1,Low,2971
Barisal,Malnichhara Tea Garden,Sylhet,Picnic Spot,405,1,Low,2305
Mymensingh,Shangu River,Bandarban,Picnic Spot,502,1,Low,2495
Rangpur,Bangladesh National Zoo,Dhaka,Park,299,1,Low,2428
Mymensingh,Chandraghona Paper Mills,Rangamati,Historical Palace,403,1,Low,2396
Barisal,Shalban Vihara,Cumilla,Historical Palace,175,1,Low,1075
Khulna,Bangabandhu Bridge,Tangail,Historical Palace,302,1,Low,2816
Mymensingh,Bichanakandi,Sylhet,Picnic Spot,234,1,Medium,2962
Khulna,Takerghat Limestone,Sunamganj,Picnic Spot,505,1,Medium,2782
Mymensingh,Shitolaksha River,Narayanganj,Picnic Spot,120,1,Low,1960
Chittagong,Mahadevpur Zamindar Bari,Naogaon,Historical Palace,341,1,Low,2475
Mymensingh,Ghoraghat Fort,Dinajpur,Historical Palace,236,1,Medium,2287
Khulna,Teknaf Beach,Teknaf,Sea Beach,558,3,Medium,18696
Khulna,Tilagor Eco Park,Sylhet,Park,444,1,Low,1801
Dhaka,Dulahazara Safari Park,Cox's Bazar,Park,358,1,Low,1734
Cumilla,Tangail Zamindar Bari,Tangail,Historical Palace,27,1,Low,1426
Dhaka,Zinda Park,Narayanganj,Picnic Spot,20,1,Low,718
Rangpur,Lalon Shah Mazar,Kushtia,Historical Palace,256,1,Medium,2325
Chittagong,Keokradong,Bandarban,Hills,134,1,Medium,2156
Barisal,Lalon Shah Mazar,Kushtia,Historical Palace,209,1,Medium,1594
Khulna,Lalakhal,Sylhet,Picnic Spot,487,1,Medium,1826
Sylhet,Ratargul Swamp Forest,Sylhet,Forest,53,1,Low,596
Sylhet,Tindur Waterfall,Bandarban,Waterfall,480,3,Medium,3086
Dhaka,Kuakata Beach,Barisal,Sea Beach,298,5,High,7897
Sylhet,Mawa Ghat,Munshiganj,Picnic Spot,273,1,Medium,2673
Cumilla,Teknaf Beach,Teknaf,Sea Beach,363,5,High,19852
Chittagong,Mohamaya Eco Park,Chittagong,Picnic Spot,81,1,Low,765
Barisal,Madhabkunda Waterfall,Moulvibazar,Waterfall,420,3,Medium,4560
Mymensingh,Kaptai National Park,Rangamati,Park,408,1,Low,2573
Khulna,Ahsan Monjil,Dhaka,Historical Palace,204,1,Low,1795
Mymensingh,Madhabkunda Waterfall,Moulvibazar,Waterfall,281,1,Low,3650
Dhaka,Suagazi Zamindar Bari,Cumilla,Historical Palace,119,1,Low,1668
Rangpur,Satchari National Park,Habiganj,Park,398,1,Medium,1527
Rangpur,Nafakhum Waterfall,Bandarban,Waterfall,558,3,Low,2675
Barisal,Bhola Circuit House,Bhola,Picnic Spot,49,1,Low,887
Khulna,Darjeeling Point,Panchagarh,Hills,635,3,High,5799
Khulna,Chandranath Temple,Chittagong,Historical Palace,310,1,Medium,2699
Khulna,Swapnapuri Amusement Park,Dinajpur,Picnic Spot,388,1,Low,2930
Cumilla,Bangabandhu Safari Park,Gazipur,Park,151,1,Low,1329
Chittagong,Teliapara Tea Garden,Habiganj,Picnic Spot,255,1,Medium,2242
Khulna,Shalban Vihara,Cumilla,Historical Palace,296,1,Medium,1572
Rangpur,Baniachong Raj Bari,Habiganj,Historical Palace,435,1,Low,2130
Chittagong,Shalban Vihara,Cumilla,Historical Palace,153,1,Low,1160
Dhaka,Cholon Beel,Sirajganj,Picnic Spot,172,1,Low,1741
Cumilla,Ratargul Swamp Forest,Sylhet,Forest,232,3,Medium,2655
Cumilla,Ratargul Swamp Forest,Sylhet,Forest,232,3,Medium,4160
Mymensingh,Jadukata River,Sunamganj,Picnic Spot,232,1,Low,1774
Chittagong,Shangu River,Bandarban,Picnic Spot,140,1,Low,1745
Sylhet,Chandranath Hill,Chittagong,Hills,321,3,High,8974
Dhaka,Mohamaya Eco Park,Chittagong,Picnic Spot,193,1,Low,1757
Sylhet,Bayazid Bostami Shrine,Chittagong,Historical Palace,352,1,Low,1523
Dhaka,Nafakhum Waterfall,Bandarban,Waterfall,350,2,Medium,3796
Mymensingh,Ghoraghat Fort,Dinajpur,Historical Palace,236,1,Medium,2000
Chittagong,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,221,1,Medium,2971
Barisal,Hardinge Bridge,Kushtia,Historical Palace,241,1,Medium,1823
Cumilla,Chor Kukri Mukri,Bhola,Island,390,7,Medium,7813
Khulna,Sreemangal,Moulvibazar,Picnic Spot,380,1,Medium,2735
Dhaka,Shoshi Lodge,Mymensingh,Historical Palace,115,1,Low,1196
Sylhet,Jadipai Waterfall,Bandarban,Waterfall,493,3,Medium,4276
Dhaka,Basher Kella,Dinajpur,Historical Palace,333,1,Medium,2962
Cumilla,Muktagacha ZamidarBari,Mymensingh,Historical Palace,233,1,Medium,2836
Rajshahi,Patenga Beach,Chittagong,Sea Beach,505,5,Medium,10602
Rajshahi,Ramsagar National Park,Dinajpur,Park,201,1,Medium,2122
Khulna,Shoshi Lodge,Mymensingh,Historical Palace,328,1,Low,1865
Chittagong,Bangladesh National Meusium,Dhaka,Historical Palace,245,1,Medium,2397
Rajshahi,Shaheed Suhrawardy Udyan,Dhaka,Park,255,1,Medium,2737
Chittagong,Zaflong Tea Garden,Sylhet,Picnic Spot,418,1,Low,1956
Rajshahi,Mohamaya Eco Park,Chittagong,Picnic Spot,436,1,Medium,2922
Mymensingh,Kaptai National Park,Rangamati,Park,408,1,Medium,2973
Rangpur,Narikelbaria Jamidar Bari,Jhenaidah,Historical Palace,303,1,Medium,2534
Chittagong,Kantaji Temple,Dinajpur,Historical Palace,602,1,Low,2341
Rajshahi,Madhabkunda Waterfall,Moulvibazar,Waterfall,468,2,Medium,2192
Chittagong,Hatirjheel,Dhaka,Picnic Spot,250,1,Medium,2805
Chittagong,Teknaf Beach,Teknaf,Sea Beach,214,6,High,5763
Sylhet,Bhawal National Park,Gazipur,Park,231,1,Medium,1563
Cumilla,Shitolaksha Waterfront Resort,Narayanganj,Picnic Spot,109,1,Low,1613
Rangpur,Paharpur Buddhist Monastery,Naogaon,Historical Palace,112,1,Low,1677
Cumilla,Munshibari Zamindar Bari,Cumilla,Historical Palace,377,1,Medium,2193
Dhaka,Bichanakandi,Sylhet,Picnic Spot,275,1,Medium,1786
Chittagong,Alutila Cave,Khagrachari,Hills,100,1,High,4312
Cumilla,Birishiri,Netrokona,Picnic Spot,270,1,Low,2539
Cumilla,Fatra's Char,Patuakhali,Island,273,3,High,17784
Khulna,Bangabandhu Safari Park,Gazipur,Park,260,1,Medium,1541
Chittagong,Lawachara National Park,Sylhet,Park,309,1,Low,1851
Rangpur,Teliapara Managers Bunglow Nation Tea Estate,Habiganj,Picnic Spot,393,1,Low,2129
Mymensingh,Himchari National Park,Cox's Bazar,Park,520,1,Low,2586
Dhaka,Kuakata Beach,Patuakhali,Sea Beach,298,7,Medium,12046
Rangpur,Chor Kukri Mukri,Bhola,Island,607,5,Medium,10909
Cumilla,Jadipai Waterfall,Bandarban,Waterfall,637,3,Medium,2566
Rajshahi,Ratargul Swamp Forest,Sylhet,Forest,470,1,Low,1579
Barisal,Malnichhara Tea Garden,Sylhet,Picnic Spot,405,1,Medium,2698
Sylhet,Tilagor Eco Park,Sylhet,Park,8,1,Low,1564
Mymensingh,Foy's Lake,Chittagong,Park,362,1,Medium,2460
Cumilla,Jadipai Waterfall,Bandarban,Waterfall,287,1,Low,2790
Chittagong,Amiakhum Waterfall,Bandarban,Waterfall,143,3,Medium,4746
Barisal,Swapnapuri Amusement Park,Dinajpur,Picnic Spot,439,1,Low,1683
Chittagong,Chor Kukri Mukri,Bhola,Island,420,5,Medium,13674
Chittagong,Muktagacha ZamidarBari,Mymensingh,Historical Palace,381,1,Low,2273
Dhaka,Bangladesh National Meusium,Dhaka,Historical Palace,12,1,Low,1465
Barisal,Mahasthangarh,Bogura,Historical Palace,378,1,Low,2576
Dhaka,Shilaidaha Kuthibari,Kushtia,Historical Palace,204,1,Low,2023
Chittagong,Muktagacha ZamidarBari,Mymensingh,Historical Palace,381,1,Low,2331
Rangpur,Bangabandhu Safari Park,Gazipur,Park,295,1,Medium,2726
Dhaka,Nikli Haor,Kishoreganj,Picnic Spot,107,1,Low,1458
Sylhet,Narikelbaria Jamidar Bari,Jhenaidah,Historical Palace,410,1,Low,2330
Cumilla,Tila Chhoho,Netrokona,Hills,62,2,High,4512
Rajshahi,Aparajeyo Bangla,Dhaka,Historical Palace,249,1,Medium,2600
Dhaka,Foy's Lake,Chittagong,Park,252,1,Low,1586
Mymensingh,Paharpur Buddhist Monastery,Naogaon,Historical Palace,241,1,Low,1869
Dhaka,Khoiyachora Jhorna,Chittagong,Waterfall,202,3,Medium,1662
Dhaka,Bangladesh National Meusium,Dhaka,Historical Palace,12,1,Low,431
Rangpur,Kaptai Lake,Rangamati,Park,602,1,Medium,1551
Chittagong,Lalbagh Fort,Dhaka,Historical Palace,244,1,Medium,2992
Mymensingh,Sajek Valley,Rangamati,Hills,447,6,Medium,8893
Cumilla,Jadipai Waterfall,Bandarban,Waterfall,287,3,Medium,3878
Mymensingh,Bhola Circuit House,Bhola,Picnic Spot,313,1,Medium,2210
Rangpur,Niladri Lake,Sunamganj,Picnic Spot,572,1,Medium,2505
Rangpur,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,253,1,Low,2934
Cumilla,Mujibnagar Eco Park,Meherpur,Park,39,1,Low,1025
Sylhet,Keokradong,Bandarban,Hills,489,5,Medium,11187
Khulna,Patenga Beach,Chittagong,Sea Beach,353,3,High,18122
Rajshahi,Modhutila Eco Park,Sherpur,Park,274,1,Medium,2310
Rangpur,Madhupur National Park,Tangail,Forest,257,1,Medium,4967
Rangpur,Mahasthangarh,Bogura,Historical Palace,95,1,Low,1587
Chittagong,Teliapara Tea Garden,Habiganj,Picnic Spot,255,1,Low,2276
Cumilla,Niladri Lake,Sunamganj,Picnic Spot,284,1,Low,1717
Dhaka,Bayazid Bostami Shrine,Chittagong,Historical Palace,250,1,Low,2539
Barisal,Darjeeling Point,Panchagarh,Hills,680,6,High,10287
Sylhet,Alutila Cave,Khagrachari,Hills,369,5,High,11050
Barisal,Mohera Zamindar Bari,Tangail,Historical Palace,251,1,Medium,1842
Khulna,Mawa Ghat,Munshiganj,Picnic Spot,171,1,Low,1498
Khulna,Rangamati Hanging Bridge,Rangamati,Hills,403,5,High,10861
Khulna,Sreemangal,Moulvibazar,Picnic Spot,380,1,Low,1882
Khulna,Dulahazara Safari Park,Cox's Bazar,Park,450,1,Medium,2554
Chittagong,Ghoraghat Fort,Dinajpur,Historical Palace,491,1,Low,2948
Chittagong,Bhawal National Park,Gazipur,Park,286,1,Medium,2368
Chittagong,Mawa Ghat,Munshiganj,Picnic Spot,277,1,Medium,2788
Sylhet,Shahporan Dargah,Sylhet,Historical Palace,10,1,Low,1631
Khulna,Rangamati Hanging Bridge,Rangamati,Hills,403,5,High,9563
Cumilla,Amiakhum Waterfall,Bandarban,Waterfall,273,1,Medium,2009
Mymensingh,Shalban Vihara,Cumilla,Historical Palace,217,1,Low,2687
Cumilla,Mujibnagar Smriti Complex,Meherpur,Historical Palace,54,1,Low,397
Dhaka,Jaflong,Sylhet,Picnic Spot,295,1,Low,1955
Dhaka,Mohera Zamindar Bari,Tangail,Historical Palace,89,1,Low,1801
Sylhet,Mujibnagar Smriti Complex,Meherpur,Historical Palace,493,1,Medium,2043
Sylhet,Narikelbaria Jamidar Bari,Jhenaidah,Historical Palace,410,1,Medium,2855
Dhaka,Patenga Beach,Chittagong,Sea Beach,262,7,High,14089
Rajshahi,Sajek Valley,Rangamati,Hills,579,5,High,7278
Rangpur,Khoiyachora Jhorna,Chittagong,Waterfall,495,2,Medium,2081
Dhaka,Satchari National Park,Habiganj,Park,136,1,Low,1166
Mymensingh,Shitolaksha River,Narayanganj,Picnic Spot,120,1,Low,1050
Barisal,Bhola Circuit House,Bhola,Picnic Spot,49,1,Low,1915
Barisal,Hatirjheel,Dhaka,Picnic Spot,157,1,Low,1986
Rajshahi,Bangabandhu Bridge,Tangail,Historical Palace,567,1,Low,2066
Sylhet,Foy's Lake,Chittagong,Park,359,1,Medium,2739
Rangpur,Narikelbaria Jamidar Bari,Jhenaidah,Historical Palace,303,1,Low,2270
Rangpur,Dhanmondi Lake,Dhaka,Park,303,1,Medium,2050
Khulna,Teknaf Beach,Teknaf,Sea Beach,558,4,High,5995
Rangpur,Chimbuk View Point,Bandarban,Hills,251,4,High,9963
Dhaka,Bhawal National Park,Gazipur,Park,45,1,Low,1328
Rajshahi,Maheshkhali Island,Cox's Bazar,Island,598,4,Medium,5840
Cumilla,Bhawal National Park,Gazipur,Park,138,1,Low,1781
Rajshahi,Baliadi  Zamindar Bari,Gazipur,Historical Palace,205,1,Low,2197
Chittagong,Dhanmondi Lake,Dhaka,Park,248,1,Medium,2257
Rangpur,Ghoraghat Fort,Dinajpur,Historical Palace,65,1,Low,674
Cumilla,Mujibnagar Eco Park,Meherpur,Park,39,1,Low,1911
Dhaka,Basher Kella,Dinajpur,Historical Palace,333,1,Medium,1845
Mymensingh,Maheshkhali Island,Cox's Bazar,Island,466,3,Medium,9982
Sylhet,Jatiyo Sriti Shoudho,Savar,Historical Palace,256,1,Medium,2790
Cumilla,Bodhiratna Buddhist Temple,Cox's Bazar,Historical Palace,278,1,Medium,1832
Barisal,Kurigram Eco Park,Kurigram,Park,513,1,Medium,2820
Rajshahi,Paharpur Buddhist Monastery,Naogaon,Historical Palace,99,1,Low,914
Sylhet,Mohera Jamindar Bari,Tangail,Historical Palace,291,1,Medium,1879
Chittagong,Teknaf Beach,Teknaf,Sea Beach,214,4,Medium,19570
Rangpur,Dhanmondi Lake,Dhaka,Park,303,1,Low,1786
Sylhet,Baniachong Raj Bari,Habiganj,Historical Palace,76,1,Low,1517
Chittagong,Buddha Dhatu Jadi,Bandarban,Historical Palace,70,1,Low,1453
Mymensingh,Hardinge Bridge,Kushtia,Historical Palace,219,1,Low,2555
Cumilla,Malnichhara Tea Garden,Sylhet,Picnic Spot,214,1,Medium,2420
Rajshahi,Ramsagar National Park,Dinajpur,Park,201,1,Medium,1671
Rajshahi,Teknaf Beach,Teknaf,Sea Beach,709,5,Medium,14802
Chittagong,Aparajeyo Bangla,Dhaka,Historical Palace,245,1,Low,1888
Rajshahi,Darjeeling Point,Panchagarh,Hills,329,3,High,8068
Barisal,Darjeeling Point,Panchagarh,Hills,680,5,High,8854
Chittagong,Mawa Ghat,Munshiganj,Picnic Spot,277,1,Medium,1761
Mymensingh,Lalbagh Fort,Dhaka,Historical Palace,124,1,Low,1807
Cumilla,Balihar Rajbari,Naogaon,Historical Palace,358,1,Low,1664
Cumilla,Mohamaya Eco Park,Chittagong,Picnic Spot,90,1,Low,1216
Rangpur,Mahasthangarh,Bogura,Historical Palace,95,1,Low,1396
Dhaka,Suagazi Zamindar Bari,Cumilla,Historical Palace,119,1,Low,1108
Sylhet,Panam City,Narayanganj,Historical Palace,237,1,Medium,2916
Mymensingh,Jadipai Waterfall,Bandarban,Waterfall,500,3,Low,4648
Barisal,Ahsan Monjil,Dhaka,Historical Palace,149,1,Low,1971
Rangpur,Sitakunda Eco Park,Chittagong,Park,512,1,Medium,1848
Rangpur,Mujibnagar Eco Park,Meherpur,Park,280,1,Low,1699
Khulna,Swapnapuri Amusement Park,Dinajpur,Picnic Spot,388,1,Medium,2193
Rangpur,Cholon Beel,Sirajganj,Picnic Spot,200,1,Low,1644
Cumilla,Kurigram Eco Park,Kurigram,Park,519,1,Low,2342
Cumilla,Lalon Shah Mazar,Kushtia,Historical Palace,280,1,Medium,2425
Cumilla,Shoshi Lodge,Mymensingh,Historical Palace,219,1,Low,2359
Sylhet,Inani Beach,Cox's Bazar,Sea Beach,519,5,Medium,6866
Rangpur,Bodhiratna Buddhist Temple,Cox's Bazar,Historical Palace,678,1,Low,1593
Dhaka,Bangabandhu Safari Park,Gazipur,Park,48,1,Low,1263
Chittagong,Shoshi Lodge,Mymensingh,Historical Palace,361,1,Medium,2830
Chittagong,Chimbuk Hill,Bandarban,Hills,87,2,Medium,4532
Rajshahi,Jatiyo Sriti Shoudho,Savar,Historical Palace,229,1,Low,2116
Mymensingh,Jadipai Waterfall,Bandarban,Waterfall,500,3,Low,1991
Sylhet,Himchari National Park,Cox's Bazar,Park,510,1,Low,2268
Mymensingh,Bangabandhu Bridge,Tangail,Historical Palace,107,1,Low,1849
Chittagong,Teliapara Tea Garden,Habiganj,Picnic Spot,255,1,Medium,2662
Chittagong,Takerghat Limestone,Sunamganj,Picnic Spot,344,1,Low,2120
Dhaka,Lawachara National Park,Sylhet,Park,193,1,Low,1031
Khulna,Sajek Valley,Rangamati,Hills,427,4,Medium,10309
Rajshahi,Bangladesh National Meusium,Dhaka,Historical Palace,245,1,Medium,2027
Sylhet,Muktagacha ZamidarBari,Mymensingh,Historical Palace,210,1,Medium,2622
Rajshahi,Kantaji Temple,Dinajpur,Historical Palace,213,1,Low,2088
Dhaka,Nikli Haor,Kishoreganj,Picnic Spot,107,1,Low,1466
Khulna,Teknaf Beach,Teknaf,Sea Beach,558,4,High,17059
Rajshahi,Baliadi  Zamindar Bari,Gazipur,Historical Palace,205,1,Medium,2505
Barisal,Nilachal,Bandarban,Hills,311,6,Medium,8467
Sylhet,Inani Beach,Cox's Bazar,Sea Beach,519,4,High,12687
Mymensingh,Fatra's Char,Patuakhali,Island,404,5,High,11358
Mymensingh,Alutila Cave,Khagrachari,Hills,379,4,Medium,10610
Chittagong,Satchari National Park,Habiganj,Park,261,1,Low,2136
Chittagong,Dulahazara Safari Park,Cox's Bazar,Park,98,1,Low,389
Chittagong,Mahasthangarh,Bogura,Historical Palace,456,1,Low,1901
Dhaka,Baliadi  Zamindar Bari,Gazipur,Historical Palace,48,1,Low,1769
Cumilla,Bhola Circuit House,Bhola,Picnic Spot,690,1,Low,1575
Khulna,Foy's Lake,Chittagong,Park,343,1,Low,2230
Mymensingh,Shitolaksha River,Narayanganj,Picnic Spot,120,1,Low,1756
Rajshahi,Cox's Bazar Sea Beach,Cox's Bazar,Sea Beach,643,4,High,12424
Rajshahi,Birishiri,Netrokona,Picnic Spot,296,1,Medium,2006
Mymensingh,Lalakhal,Sylhet,Picnic Spot,240,1,Low,2517
Barisal,Mohera Jamindar Bari,Tangail,Historical Palace,264,1,Medium,2743
Cumilla,Suagazi Zamindar Bari,Cumilla,Historical Palace,15,1,Low,485
